id,creation_time,property1,property2,property3,property4,property5,failed,failed_reason,time_of_death,details,type,participant_id,question,answer,page_type,successful_validation,client_ip_address,metadata_
12,2022-12-02 17:33:49.918648,,,,,,f,,,{},Response,2,untitled,,InfoPage,,128.254.165.4,"{""time_taken"": 4.025, ""platform"": ""Chrome 105.0.0.0 on Windows 10 64-bit"", ""download_speed_megabits_per_sec"": 4.95, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2022-12-02T17:33:45.896Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2022-12-02T17:33:45.908Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2022-12-02T17:33:45.913Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2022-12-02T17:33:45.923Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2022-12-02T17:33:45.923Z"", ""info"": null}], ""content"": {""py/object"": ""markupsafe.Markup"", ""bytes"": ""ccopy_reg\n_reconstructor\np0\n(cmarkupsafe\nMarkup\np1\nc__builtin__\nunicode\np2\nV\\u000a            <p>\\u000a                In certain cases you will have only one necklace to choose, in which case you have to reproduce it from memory.\\u000a            </p>\\u000a            \np3\ntp4\nRp5\n.""}}"
17,2022-12-02 17:34:05.0635,,,,,,f,,,{},Response,3,color_blindness_trial,"""8""",ModularPage,,97.121.215.179,"{""time_taken"": 7.922, ""platform"": ""Chrome 108.0.0.0 on Windows 10 64-bit"", ""download_speed_megabits_per_sec"": 7.95, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2022-12-02T17:34:00.479Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2022-12-02T17:34:00.574Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2022-12-02T17:34:00.584Z"", ""info"": null}, {""eventType"": ""promptStart"", ""localTime"": ""2022-12-02T17:34:00.600Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2022-12-02T17:34:00.601Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2022-12-02T17:34:00.601Z"", ""info"": null}, {""eventType"": ""promptEnd"", ""localTime"": ""2022-12-02T17:34:03.623Z"", ""info"": null}], ""prompt"": {""text"": ""Write down the number in the image."", ""url"": ""https://s3.amazonaws.com/ishihara-eye-test/jpg/ishihara-5.jpg"", ""show_after"": 0.0, ""hide_after"": 3.0}, ""control"": {""one_line"": true, ""width"": ""100px"", ""height"": null, ""text_align"": ""left"", ""block_copy_paste"": false}}"
18,2022-12-02 17:34:09.170597,,,,,,f,,,{},Response,2,reproduce_example,"[-1, -1, -1, 1, -1, -1, -1, -1, -1]",NecklaceInteractivePage,,128.254.165.4,"{""time_taken"": 5.93, ""platform"": ""Chrome 105.0.0.0 on Windows 10 64-bit"", ""download_speed_megabits_per_sec"": 4.95, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2022-12-02T17:34:03.245Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2022-12-02T17:34:03.264Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2022-12-02T17:34:03.270Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2022-12-02T17:34:03.295Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2022-12-02T17:34:03.295Z"", ""info"": null}], ""prompt"": {""text"": ""You can recolor this necklace by clicking on its beads. Each time you click on a bead, the color will change. Once you're done you can click Next."", ""dimensions"": [640, 480], ""viewport_width"": 0.7, ""loop"": false, ""num_frames"": 1}, ""control"": {}}"
22,2022-12-02 17:34:33.616615,,,,,,f,,,{},Response,3,color_blindness_trial,"""8""",ModularPage,,97.121.215.179,"{""time_taken"": 5.407, ""platform"": ""Chrome 108.0.0.0 on Windows 10 64-bit"", ""download_speed_megabits_per_sec"": 7.95, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2022-12-02T17:34:31.556Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2022-12-02T17:34:31.613Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2022-12-02T17:34:31.620Z"", ""info"": null}, {""eventType"": ""promptStart"", ""localTime"": ""2022-12-02T17:34:31.632Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2022-12-02T17:34:31.632Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2022-12-02T17:34:31.632Z"", ""info"": null}, {""eventType"": ""promptEnd"", ""localTime"": ""2022-12-02T17:34:34.645Z"", ""info"": null}], ""prompt"": {""text"": ""Write down the number in the image."", ""url"": ""https://s3.amazonaws.com/ishihara-eye-test/jpg/ishihara-2.jpg"", ""show_after"": 0.0, ""hide_after"": 3.0}, ""control"": {""one_line"": true, ""width"": ""100px"", ""height"": null, ""text_align"": ""left"", ""block_copy_paste"": false}}"
25,2022-12-02 17:34:55.623226,,,,,,f,,,{},Response,2,reproduce_example,"[-1, -1, -1, 0, -1, -1, -1, -1, -1]",NecklaceInteractivePage,,128.254.165.4,"{""time_taken"": 52.388, ""platform"": ""Chrome 105.0.0.0 on Windows 10 64-bit"", ""download_speed_megabits_per_sec"": 4.95, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2022-12-02T17:34:03.245Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2022-12-02T17:34:03.264Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2022-12-02T17:34:03.270Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2022-12-02T17:34:03.295Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2022-12-02T17:34:03.295Z"", ""info"": null}], ""prompt"": {""text"": ""You can recolor this necklace by clicking on its beads. Each time you click on a bead, the color will change. Once you're done you can click Next."", ""dimensions"": [640, 480], ""viewport_width"": 0.7, ""loop"": false, ""num_frames"": 1}, ""control"": {}}"
10,2022-12-02 17:33:44.983363,,,,,,f,,,{},Response,3,untitled,,InfoPage,,97.121.215.179,"{""time_taken"": 12.086, ""platform"": ""Chrome 108.0.0.0 on Windows 10 64-bit"", ""download_speed_megabits_per_sec"": 7.95, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2022-12-02T17:33:36.229Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2022-12-02T17:33:36.297Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2022-12-02T17:33:36.304Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2022-12-02T17:33:36.313Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2022-12-02T17:33:36.313Z"", ""info"": null}], ""content"": {""py/object"": ""markupsafe.Markup"", ""bytes"": ""ccopy_reg\n_reconstructor\np0\n(cmarkupsafe\nMarkup\np1\nc__builtin__\nunicode\np2\nV\\u000a            <p>We will now perform a quick test to check your ability to perceive colors.</p>\\u000a            <p>\\u000a                In each trial, you will be presented with an image that contains a number.\\u000a                This image will disappear after 3.0 seconds.\\u000a                You must enter the number that you see into the text box.\\u000a            </p>\\u000a            \np3\ntp4\nRp5\n.""}}"
11,2022-12-02 17:33:45.280693,,,,,,f,,,{},Response,2,untitled,,InfoPage,,128.254.165.4,"{""time_taken"": 3.341, ""platform"": ""Chrome 105.0.0.0 on Windows 10 64-bit"", ""download_speed_megabits_per_sec"": 4.95, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2022-12-02T17:33:41.944Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2022-12-02T17:33:41.958Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2022-12-02T17:33:41.973Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2022-12-02T17:33:41.983Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2022-12-02T17:33:41.984Z"", ""info"": null}], ""content"": {""py/object"": ""markupsafe.Markup"", ""bytes"": ""ccopy_reg\n_reconstructor\np0\n(cmarkupsafe\nMarkup\np1\nc__builtin__\nunicode\np2\nV\\u000a            <p>\\u000a                In this experiment you will observe a selection of colorful necklaces made of beads that can\\u000a                be either red, green or blue. In each round, you will be asked to choose a necklace that you like\\u000a                most and then attempt to reproduce it from memory. You will do that by coloring a new necklace\\u000a                by clicking on its beads so that their color matches the one you selected.\\u000a            </p>\\u000a            \np3\ntp4\nRp5\n.""}}"
19,2022-12-02 17:34:12.577981,,,,,,f,,,{},Response,3,color_blindness_trial,"""5""",ModularPage,,97.121.215.179,"{""time_taken"": 6.335, ""platform"": ""Chrome 108.0.0.0 on Windows 10 64-bit"", ""download_speed_megabits_per_sec"": 7.95, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2022-12-02T17:34:09.576Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2022-12-02T17:34:09.612Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2022-12-02T17:34:09.616Z"", ""info"": null}, {""eventType"": ""promptStart"", ""localTime"": ""2022-12-02T17:34:09.633Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2022-12-02T17:34:09.633Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2022-12-02T17:34:09.634Z"", ""info"": null}, {""eventType"": ""promptEnd"", ""localTime"": ""2022-12-02T17:34:12.642Z"", ""info"": null}], ""prompt"": {""text"": ""Write down the number in the image."", ""url"": ""https://s3.amazonaws.com/ishihara-eye-test/jpg/ishihara-4.jpg"", ""show_after"": 0.0, ""hide_after"": 3.0}, ""control"": {""one_line"": true, ""width"": ""100px"", ""height"": null, ""text_align"": ""left"", ""block_copy_paste"": false}}"
27,2022-12-02 17:35:11.431846,,,,,,f,,,{},Response,3,untitled,,InfoPage,,97.121.215.179,"{""time_taken"": 12.105, ""platform"": ""Chrome 108.0.0.0 on Windows 10 64-bit"", ""download_speed_megabits_per_sec"": 7.95, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2022-12-02T17:35:02.665Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2022-12-02T17:35:02.732Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2022-12-02T17:35:02.741Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2022-12-02T17:35:02.763Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2022-12-02T17:35:02.763Z"", ""info"": null}], ""content"": {""py/object"": ""markupsafe.Markup"", ""bytes"": ""ccopy_reg\n_reconstructor\np0\n(cmarkupsafe\nMarkup\np1\nc__builtin__\nunicode\np2\nV\\u000a            <p>\\u000a                We are specifically interested in seeing how people <strong>intuitively</strong> choose and reproduce necklaces,\\u000a                not in perfect accuracy! The best strategy is to just pay attention and answer what you intuitively think\\u000a                is the right answer, no prior expertise is required to complete this task.\\u000a            </p>\\u000a            \np3\ntp4\nRp5\n.""}}"
28,2022-12-02 17:35:12.784675,,,,,,f,,,{},Response,2,reproduce_example,"[2, 2, 2, 0, 2, 2, 2, 1, 2]",NecklaceInteractivePage,,128.254.165.4,"{""time_taken"": 69.548, ""platform"": ""Chrome 105.0.0.0 on Windows 10 64-bit"", ""download_speed_megabits_per_sec"": 4.95, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2022-12-02T17:34:03.245Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2022-12-02T17:34:03.264Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2022-12-02T17:34:03.270Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2022-12-02T17:34:03.295Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2022-12-02T17:34:03.295Z"", ""info"": null}], ""prompt"": {""text"": ""You can recolor this necklace by clicking on its beads. Each time you click on a bead, the color will change. Once you're done you can click Next."", ""dimensions"": [640, 480], ""viewport_width"": 0.7, ""loop"": false, ""num_frames"": 1}, ""control"": {}}"
