id,creation_time,property1,property2,property3,property4,property5,failed,failed_reason,time_of_death,details,assignment_id,event_type
43,2022-12-02 18:01:59.127515,,,,,,f,,,{},3IQ1VMJRYV8MKGLQUTPA9HC0KAC9AX,AssignmentAccepted
44,2022-12-02 18:03:40.680276,,,,,,f,,,{},3VNXK88KKE66C4OO5OG654QD5J4V99,AssignmentReturned
45,2022-12-02 18:03:45.279258,,,,,,f,,,{},3VNXK88KKE66C4OO5OG654QD5J4V99,AssignmentAccepted
46,2022-12-02 18:11:27.833687,,,,,,f,,,{},3IQ1VMJRYV8MKGLQUTPA9HC0KAC9AX,AssignmentSubmitted
47,2022-12-02 18:11:47.571496,,,,,,f,,,{},39L1G8WVWSF4BQJAH1V773GBGOY13M,AssignmentAccepted
48,2022-12-02 18:15:33.273509,,,,,,f,,,{},3FTOP5WARHCFPF0HO3JU95EQ7S40JI,AssignmentSubmitted
49,2022-12-02 18:15:44.378894,,,,,,f,,,{},3018Q3ZVOKESOGHCOAPW02CUQWKRA4,AssignmentAccepted
50,2022-12-02 18:19:28.378579,,,,,,f,,,{},3UN61F00HYDVIA5VTEYFSRW8YH95R0,AssignmentSubmitted
51,2022-12-02 18:19:33.174768,,,,,,f,,,{},30JNVC0ORB87M2AQH1AOCYPT74XQH0,AssignmentReturned
52,2022-12-02 18:19:45.010653,,,,,,f,,,{},3PDJHANYK74ECKR62SWQ6T8274Y6HY,AssignmentAccepted
53,2022-12-02 18:20:29.997253,,,,,,f,,,{},3QFUFYSY903GJ1WMOEFB6ACBVYF4FD,AssignmentAccepted
54,2022-12-02 18:24:10.423669,,,,,,f,,,{},39L1G8WVWSF4BQJAH1V773GBGOY13M,AssignmentSubmitted
55,2022-12-02 18:24:20.493983,,,,,,f,,,{},3A9AA95ATYAA6XPGGMUQNWWTX0XP56,AssignmentAccepted
56,2022-12-02 18:26:20.972841,,,,,,f,,,{},3YOH7BII0BVQT07F9L7VVD4TGDLKVX,AssignmentSubmitted
57,2022-12-02 18:26:31.543123,,,,,,f,,,{},3PMBY0YE29RADVIOE7L1FC2OKD2C97,AssignmentAccepted
58,2022-12-02 18:31:50.077581,,,,,,f,,,{},3PDJHANYK74ECKR62SWQ6T8274Y6HY,AssignmentSubmitted
59,2022-12-02 18:32:08.816592,,,,,,f,,,{},3FUI0JHJPZM0LTXP459QVWV8E8G33K,AssignmentAccepted
60,2022-12-02 18:33:15.938155,,,,,,f,,,{},3UJ1CZ6IZJD7JP5883YKI114KJS5SO,AssignmentReturned
61,2022-12-02 18:33:36.161079,,,,,,f,,,{},3UJ1CZ6IZJD7JP5883YKI114KJS5SO,AssignmentAccepted
62,2022-12-02 18:34:11.16705,,,,,,f,,,{},3VNXK88KKE66C4OO5OG654QD5J4V99,AssignmentSubmitted
63,2022-12-02 18:34:30.479886,,,,,,f,,,{},3OF2M9AATIC72KCPAIWYGJHP4P1ZKO,AssignmentAccepted
64,2022-12-02 18:37:03.202998,,,,,,f,,,{},3FFJ6VRIL3CJU4GB6LYUX4ZQUDF0I6,AssignmentReturned
65,2022-12-02 18:37:41.029016,,,,,,f,,,{},3EICBYG646KZJ7VX0JCE46GRGIGJCB,AssignmentAccepted
66,2022-12-02 18:46:46.571971,,,,,,f,,,{},3PMBY0YE29RADVIOE7L1FC2OKD2C97,AssignmentReturned
67,2022-12-02 18:46:57.920723,,,,,,f,,,{},3PMBY0YE29RADVIOE7L1FC2OKD2C97,AssignmentAccepted
68,2022-12-02 18:49:45.116218,,,,,,f,,,{},3EICBYG646KZJ7VX0JCE46GRGIGJCB,AssignmentSubmitted
69,2022-12-02 18:50:01.799603,,,,,,f,,,{},3VELCLL3GM7ZR2Z31WW98C58JECF1I,AssignmentAccepted
70,2022-12-02 18:54:33.537164,,,,,,f,,,{},3OF2M9AATIC72KCPAIWYGJHP4P1ZKO,AssignmentSubmitted
73,2022-12-02 19:01:14.784117,,,,,,f,,,{},3JC6VJ2SAD73JTJER3CTX17YYE7A5L,AssignmentAccepted
74,2022-12-02 19:14:08.259637,,,,,,f,,,{},3PMBY0YE29RADVIOE7L1FC2OKD2C97,AssignmentSubmitted
77,2022-12-02 19:17:41.489008,,,,,,f,,,{},3NG53N1RLX7TTF8IEK1TZG6KZQBP8L,AssignmentAccepted
80,2022-12-02 19:21:24.458798,,,,,,f,,,{},3VELCLL3GM7ZR2Z31WW98C58JECF1I,AssignmentAccepted
82,2022-12-02 19:23:55.849501,,,,,,f,,,{},3EA3QWIZ4KJKADD24NM4HF1VROFIT3,AssignmentAccepted
84,2022-12-02 19:25:00.393846,,,,,,f,,,{},34S9DKFK75D850NNB9MVU4PRSQFNY3,AssignmentAccepted
