id,creation_time,property1,property2,property3,property4,property5,failed,failed_reason,time_of_death,details,type,network_id,participant_id,awaiting_async_process,pending_async_processes,failed_async_processes,degree,child_id,seed,definition,vertex_id,dependent_vertex_ids,target_num_trials,stimulus_id,phase,participant_group,block,has_media,s3_bucket,remote_media_dir,media_id
6,2022-12-02 17:31:37.874311,,,,,,f,,,"{""propagate_failure"": ""true""}",graph_chain_node,4,,f,{},{},1,133,"[{""content"": [0, 0, 1, 2, 1, 2, 0, 2, 2], ""is_center"": true, ""vertex_id"": 2}, {""content"": [1, 1, 0, 2, 2, 1, 1, 2, 2], ""is_center"": false, ""vertex_id"": 1}, {""content"": [2, 0, 1, 0, 1, 0, 1, 1, 0], ""is_center"": false, ""vertex_id"": 3}, {""content"": [2, 0, 2, 0, 1, 2, 0, 2, 1], ""is_center"": false, ""vertex_id"": 44}, {""content"": [2, 2, 0, 0, 1, 2, 2, 1, 1], ""is_center"": false, ""vertex_id"": 9}]","[{""content"": [0, 0, 1, 2, 1, 2, 0, 2, 2], ""is_center"": true, ""vertex_id"": 2}, {""content"": [1, 1, 0, 2, 2, 1, 1, 2, 2], ""is_center"": false, ""vertex_id"": 1}, {""content"": [2, 0, 1, 0, 1, 0, 1, 1, 0], ""is_center"": false, ""vertex_id"": 3}, {""content"": [2, 0, 2, 0, 1, 2, 0, 2, 1], ""is_center"": false, ""vertex_id"": 44}, {""content"": [2, 2, 0, 0, 1, 2, 2, 1, 1], ""is_center"": false, ""vertex_id"": 9}]",2,"[1, 3, 44, 9]",,,,,,,,,
9,2022-12-02 17:31:37.945005,,,,,,f,,,{},graph_chain_source,6,,f,{},{},,,"[{""content"": [2, 2, 2, 0, 0, 1, 2, 0, 2], ""is_center"": true, ""vertex_id"": 4}, {""content"": [2, 0, 1, 0, 1, 0, 1, 1, 0], ""is_center"": false, ""vertex_id"": 3}, {""content"": [2, 2, 2, 1, 0, 2, 1, 1, 2], ""is_center"": false, ""vertex_id"": 5}, {""content"": [1, 2, 2, 2, 2, 0, 2, 0, 1], ""is_center"": false, ""vertex_id"": 46}, {""content"": [2, 0, 2, 1, 1, 0, 2, 0, 0], ""is_center"": false, ""vertex_id"": 11}]",{},,,,,,,,,,,
59,2022-12-02 17:31:38.767109,,,,,,f,,,{},StimulusVersion,1,,f,{},{},,,{},{},,,,57,screening,default,default,f,,,
60,2022-12-02 17:31:38.775903,,,,,,f,,,{},Stimulus,1,,f,{},{},,,{},"{""url"": ""https://s3.amazonaws.com/ishihara-eye-test/jpg/ishihara-5.jpg"", ""label"": ""5"", ""correct_answer"": ""3""}",,,,,,,,,,,
61,2022-12-02 17:31:38.7857,,,,,,f,,,{},StimulusVersion,1,,f,{},{},,,{},{},,,,60,screening,default,default,f,,,
63,2022-12-02 17:31:38.794285,,,,,,f,,,{},Stimulus,1,,f,{},{},,,{},"{""url"": ""https://s3.amazonaws.com/ishihara-eye-test/jpg/ishihara-6.jpg"", ""label"": ""6"", ""correct_answer"": ""15""}",,,,,,,,,,,
64,2022-12-02 17:31:38.804113,,,,,,f,,,{},StimulusVersion,1,,f,{},{},,,{},{},,,,63,screening,default,default,f,,,
11,2022-12-02 17:31:37.988144,,,,,,f,,,{},graph_chain_source,7,,f,{},{},,,"[{""content"": [2, 2, 2, 1, 0, 2, 1, 1, 2], ""is_center"": true, ""vertex_id"": 5}, {""content"": [2, 2, 2, 0, 0, 1, 2, 0, 2], ""is_center"": false, ""vertex_id"": 4}, {""content"": [2, 0, 1, 0, 0, 0, 0, 1, 0], ""is_center"": false, ""vertex_id"": 6}, {""content"": [2, 1, 2, 2, 1, 0, 1, 1, 1], ""is_center"": false, ""vertex_id"": 47}, {""content"": [2, 2, 0, 2, 1, 0, 1, 1, 2], ""is_center"": false, ""vertex_id"": 12}]",{},,,,,,,,,,,
363,2022-12-02 18:27:43.025426,,,,,,f,,,"{""propagate_failure"": ""true""}",graph_chain_node,13,,f,{},{},7,417,"[{""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": true, ""vertex_id"": 11}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 18}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 12}, {""content"": [1, 1, 1, 1, 1, 1, 1, 1, 1], ""is_center"": false, ""vertex_id"": 10}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 4}]","[{""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": true, ""vertex_id"": 11}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 18}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 12}, {""content"": [1, 1, 1, 1, 1, 1, 1, 1, 1], ""is_center"": false, ""vertex_id"": 10}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 4}]",11,"[10, 4, 12, 18]",,,,,,,,,
13,2022-12-02 17:31:38.034512,,,,,,f,,,{},graph_chain_source,8,,f,{},{},,,"[{""content"": [2, 0, 1, 0, 0, 0, 0, 1, 0], ""is_center"": true, ""vertex_id"": 6}, {""content"": [2, 2, 2, 1, 0, 2, 1, 1, 2], ""is_center"": false, ""vertex_id"": 5}, {""content"": [0, 0, 1, 0, 0, 2, 2, 2, 2], ""is_center"": false, ""vertex_id"": 48}, {""content"": [0, 0, 0, 0, 1, 1, 1, 0, 2], ""is_center"": false, ""vertex_id"": 0}, {""content"": [2, 1, 0, 2, 0, 0, 0, 0, 1], ""is_center"": false, ""vertex_id"": 13}]",{},,,,,,,,,,,
