id,creation_time,property1,property2,property3,property4,property5,failed,failed_reason,time_of_death,details,assignment_id,event_type
136,2022-12-06 06:09:20.405782,,,,,,f,,,{},3V0Z7YWSI0OVCK3PKF1RVHIZ0PZ2VI,AssignmentAccepted
137,2022-12-06 06:15:06.650421,,,,,,f,,,{},3K9FOBBF2J7O51GOSUX50WNVKMJNL6,AssignmentReturned
138,2022-12-06 06:16:25.57394,,,,,,f,,,{},3GNCZX450KB7C31XBIL7V7CFQPTAPF,AssignmentAccepted
139,2022-12-06 06:34:31.633149,,,,,,f,,,{},3GNCZX450KB7C31XBIL7V7CFQPTAPF,AssignmentSubmitted
140,2022-12-06 06:44:41.034462,,,,,,f,,,{},3V0Z7YWSI0OVCK3PKF1RVHIZ0PZ2VI,AssignmentReturned
141,2022-12-06 06:44:45.522487,,,,,,f,,,{},3V0Z7YWSI0OVCK3PKF1RVHIZ0PZ2VI,AssignmentAccepted
142,2022-12-06 07:20:36.620591,,,,,,f,,,{},3XC1O3LBOUAM0EL8PQJH9VTN949LT9,AssignmentReturned
143,2022-12-06 07:20:51.200776,,,,,,f,,,{},3XC1O3LBOUAM0EL8PQJH9VTN949LT9,AssignmentAccepted
144,2022-12-06 08:44:52.026575,,,,,,f,,,{},3V0Z7YWSI0OVCK3PKF1RVHIZ0PZ2VI,AssignmentAbandoned
145,2022-12-06 08:45:25.683508,,,,,,f,,,{},3V0Z7YWSI0OVCK3PKF1RVHIZ0PZ2VI,AssignmentAccepted
146,2022-12-06 09:20:52.127521,,,,,,f,,,{},3XC1O3LBOUAM0EL8PQJH9VTN949LT9,AssignmentAbandoned
147,2022-12-06 09:20:56.821161,,,,,,f,,,{},3XC1O3LBOUAM0EL8PQJH9VTN949LT9,AssignmentAccepted
148,2022-12-06 09:26:10.285326,,,,,,f,,,{},3V0Z7YWSI0OVCK3PKF1RVHIZ0PZ2VI,AssignmentSubmitted
149,2022-12-06 09:37:45.704626,,,,,,f,,,{},3XC1O3LBOUAM0EL8PQJH9VTN949LT9,AssignmentSubmitted
