id,creation_time,property1,property2,property3,property4,property5,failed,failed_reason,time_of_death,details,type,max_size,full,role,awaiting_async_process,pending_async_processes,failed_async_processes,trial_maker_id,target_num_trials,participant_id,id_within_participant,vertex_id,dependent_vertex_ids,source_seed,participant_group,block
6,2023-04-10 21:02:08.937576,,,,,,f,,,"{""chain_type"": ""\""across\"""", ""definition"": ""{}"", ""trials_per_node"": ""1"", ""participant_group"": ""\""default\""""}",graph_chain_network,22,t,experiment,f,{},{},graph_experiment,20,,,0,"[14, 41, 38, 10]","[{""vertex_id"": 0, ""content"": [2, 2, 2, 0, 2, 0, 2, 0, 1], ""is_center"": true}, {""vertex_id"": 14, ""content"": [2, 1, 0, 2, 2, 0, 0, 0, 0], ""is_center"": false}, {""vertex_id"": 41, ""content"": [1, 2, 2, 1, 0, 0, 0, 2, 2], ""is_center"": false}, {""vertex_id"": 38, ""content"": [2, 1, 0, 0, 0, 1, 0, 0, 2], ""is_center"": false}, {""vertex_id"": 10, ""content"": [0, 1, 1, 0, 1, 2, 1, 0, 0], ""is_center"": false}]",,
1,2023-04-10 21:02:08.735014,,,,,,f,,,"{""creation_started"": ""true"", ""creation_progress"": ""1.0""}",StaticNetwork,1000000,f,screening,f,{},{},color_blindness,,,,,,,default,default
20,2023-04-10 21:02:09.420111,,,,,,f,,,"{""chain_type"": ""\""across\"""", ""definition"": ""{}"", ""trials_per_node"": ""1"", ""participant_group"": ""\""default\""""}",graph_chain_network,22,t,experiment,f,{},{},graph_experiment,20,,,12,"[18, 36, 38, 40]","[{""vertex_id"": 12, ""content"": [2, 2, 2, 1, 1, 1, 2, 1, 2], ""is_center"": true}, {""vertex_id"": 18, ""content"": [2, 1, 1, 0, 0, 0, 0, 2, 2], ""is_center"": false}, {""vertex_id"": 36, ""content"": [1, 2, 0, 1, 0, 1, 2, 2, 0], ""is_center"": false}, {""vertex_id"": 38, ""content"": [2, 1, 0, 0, 0, 1, 0, 0, 2], ""is_center"": false}, {""vertex_id"": 40, ""content"": [2, 0, 2, 1, 1, 0, 1, 2, 1], ""is_center"": false}]",,
19,2023-04-10 21:02:09.386969,,,,,,f,,,"{""chain_type"": ""\""across\"""", ""definition"": ""{}"", ""trials_per_node"": ""1"", ""participant_group"": ""\""default\""""}",graph_chain_network,22,t,experiment,f,{},{},graph_experiment,20,,,47,"[44, 27, 5, 7]","[{""vertex_id"": 47, ""content"": [2, 1, 2, 0, 0, 0, 2, 0, 1], ""is_center"": true}, {""vertex_id"": 44, ""content"": [2, 1, 0, 1, 0, 0, 1, 1, 2], ""is_center"": false}, {""vertex_id"": 27, ""content"": [2, 0, 1, 2, 1, 0, 0, 2, 2], ""is_center"": false}, {""vertex_id"": 5, ""content"": [2, 0, 2, 1, 0, 0, 2, 2, 0], ""is_center"": false}, {""vertex_id"": 7, ""content"": [0, 2, 0, 1, 2, 1, 0, 2, 1], ""is_center"": false}]",,
18,2023-04-10 21:02:09.353128,,,,,,f,,,"{""chain_type"": ""\""across\"""", ""definition"": ""{}"", ""trials_per_node"": ""1"", ""participant_group"": ""\""default\""""}",graph_chain_network,22,t,experiment,f,{},{},graph_experiment,20,,,44,"[46, 47, 33, 16]","[{""vertex_id"": 44, ""content"": [2, 1, 0, 1, 0, 0, 1, 1, 2], ""is_center"": true}, {""vertex_id"": 46, ""content"": [2, 1, 0, 2, 1, 0, 0, 0, 1], ""is_center"": false}, {""vertex_id"": 47, ""content"": [2, 1, 2, 0, 0, 0, 2, 0, 1], ""is_center"": false}, {""vertex_id"": 33, ""content"": [0, 0, 0, 2, 1, 1, 1, 2, 2], ""is_center"": false}, {""vertex_id"": 16, ""content"": [0, 2, 1, 0, 2, 2, 2, 0, 0], ""is_center"": false}]",,
21,2023-04-10 21:02:09.457045,,,,,,f,,,"{""chain_type"": ""\""across\"""", ""definition"": ""{}"", ""trials_per_node"": ""1"", ""participant_group"": ""\""default\""""}",graph_chain_network,22,t,experiment,f,{},{},graph_experiment,20,,,18,"[12, 30, 36, 16]","[{""vertex_id"": 18, ""content"": [2, 1, 1, 0, 0, 0, 0, 2, 2], ""is_center"": true}, {""vertex_id"": 12, ""content"": [2, 2, 2, 1, 1, 1, 2, 1, 2], ""is_center"": false}, {""vertex_id"": 30, ""content"": [1, 2, 2, 1, 2, 1, 0, 0, 2], ""is_center"": false}, {""vertex_id"": 36, ""content"": [1, 2, 0, 1, 0, 1, 2, 2, 0], ""is_center"": false}, {""vertex_id"": 16, ""content"": [0, 2, 1, 0, 2, 2, 2, 0, 0], ""is_center"": false}]",,
13,2023-04-10 21:02:09.178308,,,,,,f,,,"{""chain_type"": ""\""across\"""", ""definition"": ""{}"", ""trials_per_node"": ""1"", ""participant_group"": ""\""default\""""}",graph_chain_network,22,t,experiment,f,{},{},graph_experiment,20,,,6,"[42, 20, 24, 30]","[{""vertex_id"": 6, ""content"": [2, 0, 2, 0, 1, 0, 2, 0, 2], ""is_center"": true}, {""vertex_id"": 42, ""content"": [0, 1, 2, 1, 1, 2, 1, 0, 0], ""is_center"": false}, {""vertex_id"": 20, ""content"": [2, 0, 1, 1, 0, 0, 0, 1, 0], ""is_center"": false}, {""vertex_id"": 24, ""content"": [0, 1, 1, 2, 1, 1, 1, 0, 2], ""is_center"": false}, {""vertex_id"": 30, ""content"": [1, 2, 2, 1, 2, 1, 0, 0, 2], ""is_center"": false}]",,
23,2023-04-10 21:02:09.525422,,,,,,f,,,"{""chain_type"": ""\""across\"""", ""definition"": ""{}"", ""trials_per_node"": ""1"", ""participant_group"": ""\""default\""""}",graph_chain_network,22,t,experiment,f,{},{},graph_experiment,20,,,3,"[42, 23, 33, 37]","[{""vertex_id"": 3, ""content"": [0, 2, 2, 1, 2, 0, 0, 0, 0], ""is_center"": true}, {""vertex_id"": 42, ""content"": [0, 1, 2, 1, 1, 2, 1, 0, 0], ""is_center"": false}, {""vertex_id"": 23, ""content"": [0, 2, 1, 1, 1, 0, 2, 2, 1], ""is_center"": false}, {""vertex_id"": 33, ""content"": [0, 0, 0, 2, 1, 1, 1, 2, 2], ""is_center"": false}, {""vertex_id"": 37, ""content"": [2, 2, 1, 0, 2, 1, 1, 2, 1], ""is_center"": false}]",,
14,2023-04-10 21:02:09.213173,,,,,,f,,,"{""chain_type"": ""\""across\"""", ""definition"": ""{}"", ""trials_per_node"": ""1"", ""participant_group"": ""\""default\""""}",graph_chain_network,22,t,experiment,f,{},{},graph_experiment,20,,,20,"[6, 35, 32, 41]","[{""vertex_id"": 20, ""content"": [2, 0, 1, 1, 0, 0, 0, 1, 0], ""is_center"": true}, {""vertex_id"": 6, ""content"": [2, 0, 2, 0, 1, 0, 2, 0, 2], ""is_center"": false}, {""vertex_id"": 35, ""content"": [2, 2, 2, 0, 2, 2, 0, 1, 1], ""is_center"": false}, {""vertex_id"": 32, ""content"": [0, 2, 0, 2, 2, 2, 2, 1, 1], ""is_center"": false}, {""vertex_id"": 41, ""content"": [1, 2, 2, 1, 0, 0, 0, 2, 2], ""is_center"": false}]",,
15,2023-04-10 21:02:09.246379,,,,,,f,,,"{""chain_type"": ""\""across\"""", ""definition"": ""{}"", ""trials_per_node"": ""1"", ""participant_group"": ""\""default\""""}",graph_chain_network,22,t,experiment,f,{},{},graph_experiment,20,,,19,"[39, 31, 35, 17]","[{""vertex_id"": 19, ""content"": [2, 2, 1, 2, 2, 2, 0, 2, 1], ""is_center"": true}, {""vertex_id"": 39, ""content"": [2, 1, 1, 2, 0, 0, 0, 0, 1], ""is_center"": false}, {""vertex_id"": 31, ""content"": [1, 2, 2, 1, 0, 0, 0, 2, 1], ""is_center"": false}, {""vertex_id"": 35, ""content"": [2, 2, 2, 0, 2, 2, 0, 1, 1], ""is_center"": false}, {""vertex_id"": 17, ""content"": [0, 0, 1, 2, 0, 2, 2, 0, 0], ""is_center"": false}]",,
