id,creation_time,property1,property2,property3,property4,property5,failed,failed_reason,time_of_death,details,type,network_id,participant_id,awaiting_async_process,pending_async_processes,failed_async_processes,degree,child_id,seed,definition,vertex_id,dependent_vertex_ids,target_num_trials,stimulus_id,phase,participant_group,block,has_media,s3_bucket,remote_media_dir,media_id
538,2023-04-10 21:46:26.490066,,,,,,f,,,"{""propagate_failure"": ""true""}",graph_chain_node,19,,f,{},{},10,581,"[{""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": true, ""vertex_id"": 47}, {""content"": [1, 1, 1, 1, 1, 1, 1, 1, 1], ""is_center"": false, ""vertex_id"": 44}, {""content"": [2, 2, 2, 2, 0, 2, 2, 2, 2], ""is_center"": false, ""vertex_id"": 7}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 5}, {""content"": [2, 0, 2, 2, 2, 2, 2, 0, 2], ""is_center"": false, ""vertex_id"": 27}]","[{""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": true, ""vertex_id"": 47}, {""content"": [1, 1, 1, 1, 1, 1, 1, 1, 1], ""is_center"": false, ""vertex_id"": 44}, {""content"": [2, 2, 2, 2, 0, 2, 2, 2, 2], ""is_center"": false, ""vertex_id"": 7}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 5}, {""content"": [2, 0, 2, 2, 2, 2, 2, 0, 2], ""is_center"": false, ""vertex_id"": 27}]",47,"[44, 27, 5, 7]",,,,,,,,,
738,2023-04-10 22:12:05.476823,,,,,,f,,,"{""propagate_failure"": ""true""}",graph_chain_node,28,,f,{},{},14,758,"[{""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": true, ""vertex_id"": 29}, {""content"": [1, 1, 0, 0, 0, 0, 0, 1, 1], ""is_center"": false, ""vertex_id"": 22}, {""content"": [0, 0, 1, 0, 0, 0, 1, 0, 0], ""is_center"": false, ""vertex_id"": 11}, {""content"": [0, 0, 0, 0, 0, 1, 0, 0, 1], ""is_center"": false, ""vertex_id"": 10}, {""content"": [0, 0, 0, 0, 0, 1, 0, 1, 2], ""is_center"": false, ""vertex_id"": 17}]","[{""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": true, ""vertex_id"": 29}, {""content"": [1, 1, 0, 0, 0, 0, 0, 1, 1], ""is_center"": false, ""vertex_id"": 22}, {""content"": [0, 0, 1, 0, 0, 0, 1, 0, 0], ""is_center"": false, ""vertex_id"": 11}, {""content"": [0, 0, 0, 0, 0, 1, 0, 0, 1], ""is_center"": false, ""vertex_id"": 10}, {""content"": [0, 0, 0, 0, 0, 1, 0, 1, 2], ""is_center"": false, ""vertex_id"": 17}]",29,"[11, 10, 17, 22]",,,,,,,,,
587,2023-04-10 21:51:35.503995,,,,,,f,,,"{""propagate_failure"": ""true""}",graph_chain_node,9,,f,{},{},11,629,"[{""content"": [2, 2, 2, 2, 2, 2, 2, 2, 2], ""is_center"": true, ""vertex_id"": 23}, {""content"": [2, 2, 2, 2, 2, 2, 2, 2, 2], ""is_center"": false, ""vertex_id"": 11}, {""content"": [2, 2, 2, 2, 1, 2, 2, 2, 2], ""is_center"": false, ""vertex_id"": 13}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 8}, {""content"": [2, 2, 2, 2, 2, 2, 2, 2, 2], ""is_center"": false, ""vertex_id"": 3}]","[{""content"": [2, 2, 2, 2, 2, 2, 2, 2, 2], ""is_center"": true, ""vertex_id"": 23}, {""content"": [2, 2, 2, 2, 2, 2, 2, 2, 2], ""is_center"": false, ""vertex_id"": 11}, {""content"": [2, 2, 2, 2, 1, 2, 2, 2, 2], ""is_center"": false, ""vertex_id"": 13}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 8}, {""content"": [2, 2, 2, 2, 2, 2, 2, 2, 2], ""is_center"": false, ""vertex_id"": 3}]",23,"[11, 13, 3, 8]",,,,,,,,,
456,2023-04-10 21:35:12.995475,,,,,,f,,,"{""propagate_failure"": ""true""}",graph_chain_node,26,,f,{},{},9,539,"[{""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": true, ""vertex_id"": 8}, {""content"": [2, 2, 2, 2, 0, 2, 2, 2, 2], ""is_center"": false, ""vertex_id"": 30}, {""content"": [2, 2, 2, 2, 1, 2, 2, 2, 2], ""is_center"": false, ""vertex_id"": 23}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 34}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 1}]","[{""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": true, ""vertex_id"": 8}, {""content"": [2, 2, 2, 2, 0, 2, 2, 2, 2], ""is_center"": false, ""vertex_id"": 30}, {""content"": [2, 2, 2, 2, 1, 2, 2, 2, 2], ""is_center"": false, ""vertex_id"": 23}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 34}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 1}]",8,"[23, 1, 34, 30]",,,,,,,,,
539,2023-04-10 21:46:34.929137,,,,,,f,,,"{""propagate_failure"": ""true""}",graph_chain_node,26,,f,{},{},10,555,"[{""content"": [2, 2, 2, 2, 1, 2, 2, 2, 2], ""is_center"": true, ""vertex_id"": 8}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 34}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 30}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 23}, {""content"": [1, 1, 1, 1, 0, 2, 2, 2, 2], ""is_center"": false, ""vertex_id"": 1}]","[{""content"": [2, 2, 2, 2, 1, 2, 2, 2, 2], ""is_center"": true, ""vertex_id"": 8}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 34}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 30}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 23}, {""content"": [1, 1, 1, 1, 0, 2, 2, 2, 2], ""is_center"": false, ""vertex_id"": 1}]",8,"[23, 1, 34, 30]",,,,,,,,,
586,2023-04-10 21:51:33.277829,,,,,,f,,,"{""propagate_failure"": ""true""}",graph_chain_node,50,,f,{},{},11,621,"[{""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": true, ""vertex_id"": 5}, {""content"": [2, 2, 2, 1, 2, 2, 2, 2, 2], ""is_center"": false, ""vertex_id"": 43}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 27}, {""content"": [2, 2, 2, 2, 0, 2, 2, 2, 2], ""is_center"": false, ""vertex_id"": 47}, {""content"": [2, 2, 2, 2, 2, 2, 2, 2, 2], ""is_center"": false, ""vertex_id"": 40}]","[{""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": true, ""vertex_id"": 5}, {""content"": [2, 2, 2, 1, 2, 2, 2, 2, 2], ""is_center"": false, ""vertex_id"": 43}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 27}, {""content"": [2, 2, 2, 2, 0, 2, 2, 2, 2], ""is_center"": false, ""vertex_id"": 47}, {""content"": [2, 2, 2, 2, 2, 2, 2, 2, 2], ""is_center"": false, ""vertex_id"": 40}]",5,"[47, 27, 43, 40]",,,,,,,,,
922,2023-04-10 22:44:09.878388,,,,,,f,,,"{""propagate_failure"": ""true""}",graph_chain_node,6,,f,{},{},18,989,"[{""content"": [0, 2, 0, 2, 0, 2, 0, 2, 0], ""is_center"": true, ""vertex_id"": 0}, {""content"": [2, 0, 2, 2, 2, 2, 2, 0, 2], ""is_center"": false, ""vertex_id"": 10}, {""content"": [0, 1, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 14}, {""content"": [2, 2, 1, 1, 1, 1, 1, 1, 2], ""is_center"": false, ""vertex_id"": 41}, {""content"": [0, 2, 0, 0, 0, 0, 0, 2, 0], ""is_center"": false, ""vertex_id"": 38}]","[{""content"": [0, 2, 0, 2, 0, 2, 0, 2, 0], ""is_center"": true, ""vertex_id"": 0}, {""content"": [2, 0, 2, 2, 2, 2, 2, 0, 2], ""is_center"": false, ""vertex_id"": 10}, {""content"": [0, 1, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 14}, {""content"": [2, 2, 1, 1, 1, 1, 1, 1, 2], ""is_center"": false, ""vertex_id"": 41}, {""content"": [0, 2, 0, 0, 0, 0, 0, 2, 0], ""is_center"": false, ""vertex_id"": 38}]",0,"[14, 41, 38, 10]",,,,,,,,,
553,2023-04-10 21:48:19.26874,,,,,,f,,,"{""propagate_failure"": ""true""}",graph_chain_node,29,,f,{},{},11,619,"[{""content"": [2, 2, 2, 2, 0, 2, 2, 2, 2], ""is_center"": true, ""vertex_id"": 16}, {""content"": [1, 1, 1, 1, 1, 1, 1, 1, 1], ""is_center"": false, ""vertex_id"": 44}, {""content"": [2, 2, 2, 2, 0, 2, 2, 2, 2], ""is_center"": false, ""vertex_id"": 7}, {""content"": [2, 2, 2, 2, 2, 2, 2, 2, 2], ""is_center"": false, ""vertex_id"": 18}, {""content"": [2, 2, 2, 2, 1, 2, 2, 2, 2], ""is_center"": false, ""vertex_id"": 24}]","[{""content"": [2, 2, 2, 2, 0, 2, 2, 2, 2], ""is_center"": true, ""vertex_id"": 16}, {""content"": [1, 1, 1, 1, 1, 1, 1, 1, 1], ""is_center"": false, ""vertex_id"": 44}, {""content"": [2, 2, 2, 2, 0, 2, 2, 2, 2], ""is_center"": false, ""vertex_id"": 7}, {""content"": [2, 2, 2, 2, 2, 2, 2, 2, 2], ""is_center"": false, ""vertex_id"": 18}, {""content"": [2, 2, 2, 2, 1, 2, 2, 2, 2], ""is_center"": false, ""vertex_id"": 24}]",16,"[44, 18, 24, 7]",,,,,,,,,
498,2023-04-10 21:42:18.965174,,,,,,f,,,"{""propagate_failure"": ""true""}",graph_chain_node,15,,f,{},{},9,542,"[{""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": true, ""vertex_id"": 19}, {""content"": [2, 2, 2, 2, 0, 1, 1, 1, 1], ""is_center"": false, ""vertex_id"": 17}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 35}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 31}, {""content"": [2, 2, 2, 2, 2, 2, 2, 2, 2], ""is_center"": false, ""vertex_id"": 39}]","[{""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": true, ""vertex_id"": 19}, {""content"": [2, 2, 2, 2, 0, 1, 1, 1, 1], ""is_center"": false, ""vertex_id"": 17}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 35}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 31}, {""content"": [2, 2, 2, 2, 2, 2, 2, 2, 2], ""is_center"": false, ""vertex_id"": 39}]",19,"[39, 31, 35, 17]",,,,,,,,,
721,2023-04-10 22:08:48.630489,,,,,,f,,,"{""propagate_failure"": ""true""}",graph_chain_node,32,,f,{},{},14,759,"[{""content"": [0, 2, 2, 0, 0, 0, 0, -1, 2], ""is_center"": true, ""vertex_id"": 21}, {""content"": [1, 1, 1, 1, 1, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 24}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 27}, {""content"": [1, 1, 1, 1, 1, 1, 1, 1, 1], ""is_center"": false, ""vertex_id"": 41}, {""content"": [1, 1, 1, 1, 1, 1, 1, 1, 1], ""is_center"": false, ""vertex_id"": 43}]","[{""content"": [0, 2, 2, 0, 0, 0, 0, -1, 2], ""is_center"": true, ""vertex_id"": 21}, {""content"": [1, 1, 1, 1, 1, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 24}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 27}, {""content"": [1, 1, 1, 1, 1, 1, 1, 1, 1], ""is_center"": false, ""vertex_id"": 41}, {""content"": [1, 1, 1, 1, 1, 1, 1, 1, 1], ""is_center"": false, ""vertex_id"": 43}]",21,"[24, 41, 43, 27]",,,,,,,,,
