,0
0,0.02
1,0.02
2,0.04
3,0.04
4,0.06
5,0.06
6,0.06
7,0.08
8,0.1
9,0.1
10,0.08
11,0.08
12,0.08
13,0.04
14,0.04
15,0.04
16,0.04
17,0.06
18,0.04
19,0.04
20,0.06
