,0
0,0.12
1,0.37
2,0.67
3,0.82
4,0.82
5,0.82
6,0.57
7,0.57
8,0.67
9,0.71
10,0.76
11,0.82
12,0.57
13,0.84
14,0.59
15,0.27
16,0.31
17,0.49
18,0.45
19,0.55
20,0.61
