,0,1
76,1,"['a', 'b', 'a', 'c', 'a', 'a', 'a', 'a', 'a']"
77,1,"['a', 'b', 'a', 'b', 'c', 'c', 'a', 'b', 'a']"
78,1,"['a', 'b', 'a', 'b', 'b', 'b', 'b', 'c', 'c']"
79,1,"['a', 'b', 'a', 'b', 'b', 'b', 'a', 'b', 'a']"
80,1,"['a', 'b', 'a', 'b', 'a', 'b', 'c', 'a', 'a']"
81,1,"['a', 'b', 'a', 'a', 'c', 'a', 'b', 'b', 'a']"
82,1,"['a', 'b', 'a', 'a', 'c', 'a', 'b', 'a', 'a']"
83,1,"['a', 'b', 'a', 'a', 'c', 'a', 'a', 'b', 'a']"
84,1,"['a', 'b', 'a', 'a', 'a', 'b', 'b', 'c', 'c']"
85,1,"['a', 'b', 'a', 'a', 'a', 'b', 'a', 'a', 'b']"
86,1,"['a', 'b', 'a', 'a', 'a', 'b', 'a', 'a', 'a']"
87,1,"['a', 'a', 'b', 'c', 'c', 'c', 'c', 'b', 'b']"
88,1,"['a', 'a', 'b', 'c', 'b', 'c', 'c', 'b', 'b']"
89,1,"['a', 'a', 'b', 'b', 'c', 'c', 'b', 'b', 'a']"
90,1,"['a', 'a', 'b', 'b', 'c', 'b', 'b', 'b', 'c']"
91,1,"['a', 'a', 'b', 'b', 'c', 'b', 'a', 'a', 'a']"
92,1,"['a', 'a', 'b', 'b', 'b', 'b', 'c', 'c', 'c']"
93,1,"['a', 'a', 'b', 'b', 'b', 'b', 'b', 'b', 'a']"
94,1,"['a', 'a', 'b', 'b', 'b', 'b', 'a', 'c', 'a']"
95,1,"['a', 'a', 'b', 'b', 'b', 'a', 'a', 'a', 'a']"
96,1,"['a', 'a', 'b', 'b', 'a', 'c', 'c', 'c', 'c']"
97,1,"['a', 'a', 'b', 'b', 'a', 'c', 'b', 'c', 'b']"
98,1,"['a', 'a', 'b', 'b', 'a', 'b', 'c', 'c', 'a']"
99,1,"['a', 'a', 'b', 'b', 'a', 'a', 'b', 'c', 'a']"
100,1,"['a', 'a', 'b', 'b', 'a', 'a', 'a', 'c', 'c']"
101,1,"['a', 'a', 'b', 'b', 'a', 'a', 'a', 'a', 'a']"
102,1,"['a', 'a', 'b', 'a', 'c', 'c', 'a', 'c', 'a']"
103,1,"['a', 'a', 'b', 'a', 'c', 'a', 'b', 'a', 'a']"
104,1,"['a', 'a', 'b', 'a', 'b', 'b', 'c', 'c', 'c']"
105,1,"['a', 'a', 'b', 'a', 'b', 'a', 'b', 'a', 'b']"
106,1,"['a', 'a', 'b', 'a', 'a', 'b', 'a', 'c', 'c']"
107,1,"['a', 'a', 'b', 'a', 'a', 'b', 'a', 'a', 'c']"
108,1,"['a', 'a', 'b', 'a', 'a', 'a', 'c', 'a', 'b']"
109,1,"['a', 'a', 'b', 'a', 'a', 'a', 'b', 'a', 'a']"
110,1,"['a', 'a', 'a', 'b', 'c', 'b', 'c', 'a', 'a']"
111,1,"['a', 'a', 'a', 'b', 'b', 'c', 'c', 'c', 'a']"
112,1,"['a', 'a', 'a', 'b', 'b', 'c', 'c', 'a', 'a']"
113,1,"['a', 'a', 'a', 'b', 'b', 'b', 'a', 'b', 'a']"
114,1,"['a', 'a', 'a', 'b', 'b', 'a', 'a', 'c', 'c']"
115,1,"['a', 'a', 'a', 'b', 'b', 'a', 'a', 'c', 'b']"
116,1,"['a', 'a', 'a', 'b', 'a', 'b', 'c', 'c', 'c']"
117,1,"['a', 'a', 'a', 'b', 'a', 'b', 'a', 'b', 'c']"
118,1,"['a', 'a', 'a', 'b', 'a', 'a', 'a', 'a', 'b']"
119,1,"['a', 'a', 'a', 'a', 'b', 'c', 'c', 'b', 'b']"
120,1,"['a', 'a', 'a', 'a', 'b', 'b', 'c', 'c', 'c']"
121,1,"['a', 'a', 'a', 'a', 'b', 'b', 'b', 'b', 'c']"
122,1,"['a', 'a', 'a', 'a', 'b', 'a', 'c', 'c', 'c']"
123,1,"['a', 'a', 'a', 'a', 'b', 'a', 'c', 'c', 'b']"
124,1,"['a', 'a', 'a', 'a', 'a', 'b', 'b', 'a', 'c']"
125,1,"['a', 'a', 'a', 'a', 'a', 'b', 'a', 'b', 'c']"
126,1,"['a', 'a', 'a', 'a', 'a', 'b', 'a', 'a', 'b']"
127,1,"['a', 'a', 'a', 'a', 'a', 'b', 'a', 'a', 'a']"
128,1,"['a', 'a', 'a', 'a', 'a', 'a', 'b', 'c', 'c']"
