,0
0,0.08
1,0.16
2,0.18
3,0.12
4,0.08
5,0.06
6,0.12
7,0.16
8,0.14
9,0.16
10,0.14
11,0.14
12,0.04
13,0.02
14,0.04
15,0.08
16,0.08
17,0.08
18,0.12
19,0.08
20,0.04
