,0,1
75,1,"['a', 'b', 'b', 'b', 'c', 'a', 'c', 'b', 'b']"
76,1,"['a', 'b', 'b', 'b', 'b', 'b', 'a', 'b', 'b']"
77,1,"['a', 'b', 'b', 'b', 'b', 'a', 'a', 'c', 'b']"
78,1,"['a', 'b', 'b', 'b', 'a', 'c', 'c', 'c', 'a']"
79,1,"['a', 'b', 'b', 'b', 'a', 'a', 'c', 'c', 'b']"
80,1,"['a', 'b', 'b', 'a', 'c', 'a', 'c', 'a', 'a']"
81,1,"['a', 'b', 'b', 'a', 'c', 'a', 'b', 'a', 'c']"
82,1,"['a', 'b', 'b', 'a', 'b', 'b', 'a', 'b', 'c']"
83,1,"['a', 'b', 'b', 'a', 'b', 'b', 'a', 'b', 'b']"
84,1,"['a', 'b', 'b', 'a', 'b', 'b', 'a', 'b', 'a']"
85,1,"['a', 'b', 'b', 'a', 'b', 'a', 'b', 'a', 'c']"
86,1,"['a', 'b', 'b', 'a', 'a', 'c', 'b', 'b', 'c']"
87,1,"['a', 'b', 'a', 'c', 'c', 'c', 'b', 'a', 'b']"
88,1,"['a', 'b', 'a', 'c', 'c', 'c', 'a', 'b', 'a']"
89,1,"['a', 'b', 'a', 'c', 'a', 'c', 'b', 'b', 'b']"
90,1,"['a', 'b', 'a', 'c', 'a', 'b', 'b', 'b', 'c']"
91,1,"['a', 'b', 'a', 'b', 'c', 'a', 'c', 'b', 'a']"
92,1,"['a', 'b', 'a', 'b', 'b', 'b', 'c', 'c', 'a']"
93,1,"['a', 'b', 'a', 'b', 'b', 'a', 'a', 'c', 'a']"
94,1,"['a', 'b', 'a', 'a', 'b', 'a', 'b', 'a', 'c']"
95,1,"['a', 'b', 'a', 'a', 'a', 'c', 'a', 'b', 'a']"
96,1,"['a', 'b', 'a', 'a', 'a', 'a', 'b', 'a', 'a']"
97,1,"['a', 'b', 'a', 'a', 'a', 'a', 'a', 'b', 'a']"
98,1,"['a', 'a', 'b', 'c', 'c', 'c', 'c', 'c', 'a']"
99,1,"['a', 'a', 'b', 'c', 'c', 'c', 'a', 'c', 'c']"
100,1,"['a', 'a', 'b', 'c', 'b', 'c', 'a', 'b', 'c']"
101,1,"['a', 'a', 'b', 'c', 'a', 'c', 'c', 'b', 'b']"
102,1,"['a', 'a', 'b', 'c', 'a', 'c', 'b', 'b', 'b']"
103,1,"['a', 'a', 'b', 'c', 'a', 'b', 'b', 'b', 'a']"
104,1,"['a', 'a', 'b', 'b', 'b', 'b', 'b', 'a', 'a']"
105,1,"['a', 'a', 'b', 'a', 'c', 'c', 'a', 'b', 'b']"
106,1,"['a', 'a', 'b', 'a', 'c', 'a', 'c', 'b', 'c']"
107,1,"['a', 'a', 'b', 'a', 'b', 'a', 'b', 'a', 'b']"
108,1,"['a', 'a', 'b', 'a', 'b', 'a', 'a', 'b', 'a']"
109,1,"['a', 'a', 'b', 'a', 'a', 'c', 'c', 'c', 'c']"
110,1,"['a', 'a', 'b', 'a', 'a', 'b', 'a', 'a', 'b']"
111,1,"['a', 'a', 'a', 'b', 'c', 'b', 'a', 'a', 'a']"
112,1,"['a', 'a', 'a', 'b', 'c', 'a', 'c', 'c', 'c']"
113,1,"['a', 'a', 'a', 'b', 'a', 'a', 'a', 'c', 'a']"
114,1,"['a', 'a', 'a', 'b', 'a', 'a', 'a', 'b', 'b']"
115,1,"['a', 'a', 'a', 'a', 'b', 'a', 'b', 'c', 'a']"
116,1,"['a', 'a', 'a', 'a', 'b', 'a', 'b', 'a', 'b']"
117,1,"['a', 'a', 'a', 'a', 'b', 'a', 'a', 'b', 'b']"
118,1,"['a', 'a', 'a', 'a', 'a', 'b', 'c', 'b', 'b']"
119,1,"['a', 'a', 'a', 'a', 'a', 'b', 'c', 'a', 'c']"
120,1,"['a', 'a', 'a', 'a', 'a', 'b', 'b', 'a', 'a']"
