,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
10,"(30, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(4, ""['a', 'a', 'a', 'a', 'a', 'a', 'b', 'a', 'a']"")","(2, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'b', 'a']"")","(1, ""['a', 'b', 'c', 'b', 'a', 'c', 'b', 'a', 'b']"")","(1, ""['a', 'b', 'b', 'b', 'b', 'b', 'a', 'b', 'b']"")","(1, ""['a', 'b', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'c', 'b', 'c', 'a', 'b', 'c']"")","(1, ""['a', 'a', 'b', 'a', 'b', 'b', 'b', 'a', 'c']"")","(1, ""['a', 'a', 'b', 'a', 'a', 'a', 'b', 'b', 'a']"")","(1, ""['a', 'a', 'b', 'a', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'b', 'c', 'a', 'c', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'b', 'a', 'a', 'a', 'a', 'b']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'b', 'a', 'b', 'b']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'b', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'a', 'b', 'b', 'b']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'b']"")",,,,,,,,,,,,,,,,,,,,
11,"(35, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(4, ""['a', 'a', 'a', 'a', 'a', 'a', 'b', 'a', 'a']"")","(1, ""['a', 'b', 'c', 'b', 'b', 'b', 'a', 'c', 'c']"")","(1, ""['a', 'b', 'c', 'b', 'a', 'c', 'b', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'c', 'a', 'c', 'c', 'b', 'b']"")","(1, ""['a', 'a', 'b', 'a', 'b', 'b', 'b', 'a', 'c']"")","(1, ""['a', 'a', 'b', 'a', 'a', 'a', 'b', 'b', 'a']"")","(1, ""['a', 'a', 'a', 'b', 'a', 'a', 'a', 'a', 'b']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'b', 'a', 'b', 'b']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'a', 'b', 'b', 'b']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'b', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'b']"")",,,,,,,,,,,,,,,,,,,,,,,,
12,"(39, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(4, ""['a', 'a', 'a', 'a', 'a', 'a', 'b', 'a', 'a']"")","(2, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'b']"")","(1, ""['a', 'b', 'c', 'b', 'b', 'c', 'b', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'a', 'c', 'c', 'a', 'b', 'b']"")","(1, ""['a', 'a', 'a', 'b', 'a', 'a', 'a', 'a', 'b']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'b', 'a', 'b', 'a']"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"(41, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(2, ""['a', 'a', 'a', 'a', 'a', 'a', 'b', 'a', 'a']"")","(2, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'b']"")","(1, ""['a', 'b', 'c', 'b', 'a', 'a', 'b', 'c', 'c']"")","(1, ""['a', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'b']"")","(1, ""['a', 'a', 'a', 'b', 'a', 'a', 'a', 'a', 'b']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'b', 'a', 'b', 'a']"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"(40, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(2, ""['a', 'a', 'a', 'a', 'a', 'a', 'b', 'a', 'a']"")","(1, ""['a', 'b', 'c', 'a', 'a', 'c', 'a', 'c', 'a']"")","(1, ""['a', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'b']"")","(1, ""['a', 'b', 'b', 'b', 'a', 'b', 'b', 'b', 'a']"")","(1, ""['a', 'b', 'a', 'b', 'a', 'b', 'a', 'b', 'a']"")","(1, ""['a', 'b', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'b', 'a', 'b', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'b']"")",,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"(35, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(2, ""['a', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'b']"")","(2, ""['a', 'a', 'b', 'a', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'b', 'c', 'a', 'a', 'c', 'a', 'c', 'a']"")","(1, ""['a', 'b', 'b', 'b', 'c', 'b', 'b', 'b', 'b']"")","(1, ""['a', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'a']"")","(1, ""['a', 'b', 'b', 'b', 'a', 'b', 'b', 'b', 'a']"")","(1, ""['a', 'b', 'b', 'a', 'b', 'b', 'a', 'b', 'b']"")","(1, ""['a', 'b', 'a', 'b', 'a', 'b', 'a', 'b', 'a']"")","(1, ""['a', 'b', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'b', 'b', 'b', 'b', 'b', 'b']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'b', 'a', 'b', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'b']"")",,,,,,,,,,,,,,,,,,,,,,,
16,"(32, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(2, ""['a', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'b']"")","(2, ""['a', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'a']"")","(2, ""['a', 'a', 'b', 'a', 'a', 'a', 'a', 'a', 'a']"")","(2, ""['a', 'a', 'a', 'a', 'a', 'b', 'a', 'b', 'a']"")","(2, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'b', 'a']"")","(1, ""['a', 'b', 'c', 'a', 'a', 'c', 'a', 'c', 'a']"")","(1, ""['a', 'b', 'b', 'b', 'a', 'b', 'b', 'b', 'a']"")","(1, ""['a', 'b', 'a', 'b', 'a', 'b', 'a', 'b', 'a']"")","(1, ""['a', 'b', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'c', 'c', 'c', 'c', 'c', 'c']"")","(1, ""['a', 'a', 'b', 'b', 'b', 'b', 'b', 'b', 'b']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'b']"")",,,,,,,,,,,,,,,,,,,,,,,
17,"(35, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(3, ""['a', 'a', 'b', 'a', 'a', 'a', 'a', 'a', 'a']"")","(2, ""['a', 'a', 'b', 'b', 'b', 'b', 'b', 'b', 'b']"")","(1, ""['a', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'b']"")","(1, ""['a', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'a']"")","(1, ""['a', 'b', 'b', 'b', 'a', 'b', 'b', 'b', 'a']"")","(1, ""['a', 'b', 'a', 'b', 'a', 'b', 'a', 'b', 'a']"")","(1, ""['a', 'b', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'c', 'b', 'c', 'b']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'b', 'a', 'b', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'b']"")",,,,,,,,,,,,,,,,,,,,,,,,
18,"(38, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(2, ""['a', 'a', 'b', 'a', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'b']"")","(1, ""['a', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'a']"")","(1, ""['a', 'b', 'b', 'b', 'a', 'b', 'b', 'b', 'a']"")","(1, ""['a', 'b', 'a', 'b', 'a', 'b', 'a', 'b', 'a']"")","(1, ""['a', 'b', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'b', 'b', 'b', 'b', 'b', 'b']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'b', 'c', 'b', 'c']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'b', 'a', 'b', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'b']"")",,,,,,,,,,,,,,,,,,,,,,,,,
19,"(42, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(2, ""['a', 'a', 'b', 'a', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'b', 'b', 'b', 'c', 'b', 'b', 'b', 'b']"")","(1, ""['a', 'a', 'b', 'c', 'c', 'c', 'c', 'c', 'c']"")","(1, ""['a', 'a', 'b', 'b', 'b', 'b', 'b', 'b', 'b']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'b', 'c', 'b', 'c']"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"(39, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(3, ""['a', 'b', 'a', 'b', 'a', 'b', 'a', 'b', 'a']"")","(2, ""['a', 'a', 'a', 'b', 'b', 'b', 'a', 'a', 'a']"")","(1, ""['a', 'b', 'b', 'a', 'b', 'b', 'a', 'b', 'a']"")","(1, ""['a', 'a', 'b', 'b', 'b', 'b', 'b', 'b', 'b']"")","(1, ""['a', 'a', 'b', 'b', 'b', 'b', 'b', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'a', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,
