,0
0,0.33
1,0.5700000000000001
2,0.5900000000000001
3,0.75
4,0.81
5,0.79
6,0.77
7,0.61
8,0.63
9,0.63
10,0.73
11,0.8099999999999999
12,0.92
13,0.92
14,0.88
15,0.79
16,0.7300000000000001
17,0.81
18,0.8400000000000001
19,0.92
20,0.9000000000000001
