,0
0,0.37
1,0.84
2,0.51
3,0.73
4,0.82
5,0.88
6,0.82
7,0.69
8,0.47
9,0.47
10,0.29
11,0.47
12,0.67
13,0.71
14,0.88
15,0.92
16,0.9
17,0.88
18,0.84
19,0.82
20,0.9
