,0
0,0.04
1,0.02
2,0.1
3,0.08
4,0.1
5,0.06
6,0.06
7,0.08
8,0.18
9,0.16
10,0.18
11,0.22
12,0.16
13,0.08
14,0.04
15,0.04
16,0.06
17,0.08
18,0.12
19,0.18
20,0.1
