,0
0,0.44999999999999996
1,0.88
2,0.6699999999999999
3,0.8899999999999999
4,0.94
5,0.98
6,0.9199999999999999
7,0.7899999999999999
8,0.71
9,0.73
10,0.61
11,0.8099999999999999
12,0.91
13,0.8699999999999999
14,0.9600000000000001
15,0.9800000000000001
16,0.98
17,1.0
18,1.0
19,1.0
20,1.0
